catalogue	Taxo_level	species	genus	family	order	class	phylum	superkingdom	knowledge	
msp_0901	gut	genus	unclassified Blautia	Blautia	Lachnospiraceae K	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0902	gut	genus	unclassified Oscillospiraceae CAG-129	Oscillospiraceae CAG-129	Oscillospiraceae	Oscillospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0903	gut	species	Oscillibacter sp. 57_20	Dysosmobacter - Oscillibacter	Oscillospiraceae	Oscillospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0904	gut	species	[Ruminococcaceae] bacterium UBA5891	Acutalibacteraceae 3 UBA737	Acutalibacteraceae	Clostridiales	Clostridia	Firmicutes	Bacteria	unknown
msp_0905c	gut	species	Treponema succinifaciens	Treponema	Treponemataceae	Treponematales	Spirochaetia	Spirochaetota	Bacteria	known
msp_0906	gut	species	[Clostridium] sp. 2789STDY5834924	Lachnoclostridium 2	Lachnospiraceae I	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0907	gut	species	[Clostridium] sp. CAG:465	unclassified Clostridiales 2j	Clostridiales 2j	Clostridiales 2	Clostridia	Firmicutes	Bacteria	unknown
msp_0908	gut	family	unclassified Christensenellales QAND01	unclassified Christensenellales QAND01	Christensenellales QAND01	Christensenellales	Clostridia	Firmicutes	Bacteria	unknown
msp_0909	gut	species	[Clostridium] sp. CAG:768	Gastranaerophilaceae Zag1	Gastranaerophilaceae	Gastranaerophilales	Vampirovibrionia	Cyanobacteria	Bacteria	unknown
msp_0910	gut	species	Bifidobacterium catenulatum	Bifidobacterium	Bifidobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteriota	Bacteria	known
msp_0911	gut	family	unclassified Oscillospirales 1 CAG-272	unclassified Oscillospirales 1 CAG-272	Oscillospirales 1 CAG-272	Oscillospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0912	gut	family	unclassified Oscillospirales 4	unclassified Oscillospirales 4	Oscillospirales 4	Oscillospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0913	gut	genus	unclassified Succinivibrio	Succinivibrio	Succinivibrionaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	unknown
msp_0914	gut	genus	unclassified Acutalibacter	Acutalibacter	Acutalibacteraceae	Clostridiales	Clostridia	Firmicutes	Bacteria	unknown
