,count,sample,catalogue,Taxo_level,species,genus,family,order,class,phylum,superkingdom,knowledge
782,51,msp_0841,gut,genus,unclassified Oscillospiraceae CAG-129,Oscillospiraceae CAG-129,Oscillospiraceae,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
342,51,msp_0362,gut,species,Clostridium saudiense,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,known
1602,50,msp_1702,gut & oral,species,Streptococcus australis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,known
858,50,msp_0931,gut,genus,unclassified Oscillospirales 6 NK3B98,Oscillospirales 6 NK3B98,Oscillospirales 6,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
1580,50,msp_0197,gut & oral,species,Megasphaera sp. BL7 & NM10,Megasphaera,Megasphaeraceae,Veillonellales,Negativicutes,Firmicutes,Bacteria,unknown
437,50,msp_0462,gut,genus,unclassified Negativibacillus,Negativibacillus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
1080,49,msp_1219,gut & oral,species,Veillonella rogosae,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes,Bacteria,known
407,49,msp_0431,gut,species,[Eubacterium] sp. CAG:274,Anaerotignaceae CAG-274,Anaerotignaceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
687,49,msp_0740,gut,species,Clostridiales bacterium CIM:MAG 309,unclassified Anaerotignaceae,Anaerotignaceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
18,49,msp_0020,gut,species,Enterocloster clostridioformis,Enterocloster,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
922,49,msp_1012,gut,species,[Intestinimonas] massiliensis,Flavonifractor,Oscillospirales 6,Oscillospirales,Clostridia,Firmicutes,Bacteria,known
726,48,msp_0780,gut,genus,unclassified Hungatella,Hungatella,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
574,48,msp_0613,gut,family,unclassified Christensenellales UBA7102,unclassified Christensenellales UBA7102,Christensenellales UBA7102,Christensenellales,Clostridia,Firmicutes,Bacteria,unknown
1585,48,msp_0482,gut & oral,species,Mitsuokella multacida,Mitsuokella,Selenomonadaceae,Selenomonadales,Negativicutes,Firmicutes,Bacteria,known
100,48,msp_0106,gut,species,[Clostridiales] bacterium UBA7273 / Firmicutes bacterium CAG:240,Oscillospirales 4 F23-B02,Oscillospirales 4,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
306,48,msp_0324,gut,species,Alistipes sp. cv1,Alistipes 2,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,unknown
78,47,msp_0084,gut,species,Prevotella sp. RUG457 & sp. RUG782 & sp. CAG:386,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,unknown
479,47,msp_0507,gut,family,unclassified Anaerotignaceae CAG-274,Anaerotignaceae CAG-274,Anaerotignaceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
76,46,msp_0081,gut,genus,unclassified Prevotella,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,unknown
340,46,msp_0360,gut,species,Enterocloster asparagiformis == lavalensis,Enterocloster,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
12,46,msp_0014,gut,species,Eisenbergiella tayi,Eisenbergiella,Lachnospiraceae G,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
1393,46,msp_1674,gut,family,unclassified Oscillospirales 3,unclassified Oscillospirales 3,Oscillospirales 3,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
612,46,msp_0652,gut,family,unclassified Oscillospirales 1 CAG-272,unclassified Oscillospirales 1 CAG-272,Oscillospirales 1 CAG-272,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
22,46,msp_0024,gut,species,Hungatella effluvii,Hungatella,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
17,46,msp_0019,gut,species,Bacteroides faecis,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
182,46,msp_0192,gut,genus,unclassified Oscillospiraceae CAG-129,Oscillospiraceae CAG-129,Oscillospiraceae,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
