,count,sample,catalogue,Taxo_level,species,genus,family,order,class,phylum,superkingdom,knowledge
486,118,msp_0509,gut,species,Evtepia gabavorus,Evtepia,Oscillospirales 6,Oscillospirales,Clostridia,Firmicutes,Bacteria,known
618,117,msp_0654,gut,species,Firmicutes bacterium CAG:103,Oscillospirales 4 CAG-103,Oscillospirales 4,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
146,116,msp_0153,gut,species,Erysipelatoclostridium ramosum,Erysipelatoclostridium,Erysipelatoclostridiaceae,Erysipelotrichales,Bacilli,Firmicutes,Bacteria,known
399,113,msp_0418,gut,genus,unclassified Gemmiger,Gemmiger,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
195,112,msp_0205,gut,species,Firmicutes bacterium CAG:124,Oscillospirales 5 CAG-170,Oscillospirales 5,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
63,111,msp_0066,gut,species,[Clostridium] sp. AT4,Enterocloster,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
1148,111,msp_1291,gut,species,[Clostridiales] bacterium CIM:MAG 451,unclassified Anaerovoracaceae,Anaerovoracaceae,Peptostreptococcales,Clostridia,Firmicutes,Bacteria,unknown
265,111,msp_0277,gut,species,[Eubacterium] sp. CAG:251 / [Clostridium] sp. A254.MGS-251,Acutalibacteraceae 2 CAG-528,Acutalibacteraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
62,109,msp_0065,gut,species,[Ruminococcus] sp. CAG:17 / Blautia sp. 2789STDY5608880,Blautia A,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
969,108,msp_1060c,gut,genus,unclassified Flavonifractor,Flavonifractor,Oscillospirales 6,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
1593,108,msp_0212,gut & oral,species,Dialister invisus,Dialister,Dialisteraceae,Veillonellales,Negativicutes,Firmicutes,Bacteria,known
325,108,msp_0342,gut,species,[Flavonifractor] sp. 2789STDY5834931 / Clostridiales bacterium CCNA10,Lawsonibacter,Oscillospirales 6,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
280,107,msp_0296,gut,genus,unclassified Lachnospiraceae C 14-2,Lachnospiraceae C 14-2,Lachnospiraceae C,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
138,107,msp_0144,gut,species,[Clostridium] sp. CAG:138,unclassified Christensenellales CAG-138,Christensenellales CAG-138,Christensenellales,Clostridia,Firmicutes,Bacteria,unknown
21,107,msp_0022,gut,species,Bacteroides finegoldii,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
153,107,msp_0160,gut,species,[Faecalitalea] sp. UBA637,Holdemanella,Erysipelotrichaceae,Erysipelotrichales,Bacilli,Firmicutes,Bacteria,unknown
561,107,msp_0592,gut,family,unclassified Christensenellales CAG-74,unclassified Christensenellales CAG-74,Christensenellales CAG-74,Christensenellales,Clostridia,Firmicutes,Bacteria,unknown
115,106,msp_0121,gut,species,[Oscillibacter] sp. CAG:241_62_21,Oscillospiraceae CAG-129,Oscillospiraceae,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
128,105,msp_0134,gut,species,Megamonas funiformis == rupellensis,Megamonas,Selenomonadaceae,Selenomonadales,Negativicutes,Firmicutes,Bacteria,known
100,105,msp_0105,gut,species,[Ruminococcus] sp. CAG:177,Acutalibacteraceae 1 CAG-177,Acutalibacteraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
267,104,msp_0280,gut,species,Sutterella wadsworthensis 2,Sutterella,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria,unknown
535,104,msp_0563,gut,genus,unclassified Murimonas,Murimonas,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
185,103,msp_0194,gut,species,[Clostridium] sp. 42_12 & CAG:75,Lachnospiraceae B TF01-11,Lachnospiraceae B,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
849,103,msp_0917,gut,genus,unclassified Oscillospirales 4 CAG-103,Oscillospirales 4 CAG-103,Oscillospirales 4,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
1609,101,msp_1453,gut & oral,species,Streptococcus vestibularis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,known
603,100,msp_0639,gut,species,Faecalibacterium prausnitzii 6 [F. butyricigenerans],Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
400,100,msp_0419,gut,species,Bifidobacterium bifidum,Bifidobacterium,Bifidobacteriaceae,Actinomycetales,Actinobacteria,Actinobacteriota,Bacteria,known
360,99,msp_0378,gut,species,[Eubacterium] sp. CAG:156,Lachnospiraceae B EuG,Lachnospiraceae B,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
565,98,msp_0596,gut,species,[Clostridiales] bacterium UBA4696,Oscillospirales 5 CAG-170,Oscillospirales 5,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
40,96,msp_0043,gut,species,Bacteroides coprocola,Bacteroides 2,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
39,95,msp_0042,gut,species,Coprococcus eutactus 2,Coprococcus,Lachnospiraceae A,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
586,95,msp_0622,gut,family,unclassified Christensenellales CAG-74,unclassified Christensenellales CAG-74,Christensenellales CAG-74,Christensenellales,Clostridia,Firmicutes,Bacteria,unknown
467,94,msp_0490,gut,genus,unclassified Angelakisella,Angelakisella,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
614,94,msp_0650,gut,genus,unclassified Agathobaculum,Agathobaculum,Butyricicoccaceae,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
817,93,msp_0879,gut,genus,unclassified Faecalibacterium,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
144,92,msp_0151,gut,species,Butyricimonas faecihominis,Butyricimonas,Marinifilaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
433,91,msp_0452,gut,family,unclassified Oscillospirales 4,unclassified Oscillospirales 4,Oscillospirales 4,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
156,91,msp_0163,gut,species,Firmicutes bacterium CAG:227,Blautia,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
49,90,msp_0052,gut,species,Blautia sp. CAG:257,Blautia A,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
33,90,msp_0036,gut,species,Bacteroides eggerthii,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
91,90,msp_0095,gut,species,[Eubacterium] sp. CAG:202,Acutalibacteraceae 3 CAG-581,Acutalibacteraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
585,89,msp_0621,gut,species,Intestinibacter bartlettii,Intestinibacter,Peptostreptococcaceae,Peptostreptococcales,Clostridia,Firmicutes,Bacteria,known
871,87,msp_0945,gut,genus,unclassified Frisingicoccus,Frisingicoccus,Lachnospiraceae A,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
